target,pos,from,item_id,candids,definition
鵲,N,CWN,N-03,"A.事實, B.研, C.觀光客, D.鵲",以鵲為形象製成的人造物。
刺進,V,ASBC,V-50,"A.燃起, B.放生, C.刺進, D.與日俱增",物體表面或特定部位向外凸出。
環球,O,ASBC,O-53,"A.軍用, B.環球, C.公教, D.聯外",環繞太陽一周所需的時間。
還,D,vec4gloss,D-12,"A.還, B.悄悄, C.相形之下, D.如此一來",表事情尚未完成。
以及,O,vec4gloss,O-21,"A.從, B.經過, C.就, D.以及",連接並列的詞組，表做連接的事件同時成立。
乃至,O,CWN,O-03,"A.本乎, B.乃至, C.數位, D.由",連接語意相似的詞組，用來突出最後一項。
啪,O,vec4gloss,O-06,"A.啪, B.俗, C.哇, D.民生",模擬物體斷裂所發出的聲音。
略,D,vec4gloss,D-15,"A.略, B.快, C.雙, D.越發",表程度小。
抉,V,CWN,V-03,"A.遊行, B.抉, C.犀, D.有限",從多個同類對象中挑選出後述對象。
愛,O,vec4gloss,O-16,"A.象, B.關于, C.休, D.愛",形容愛惜並愛惜特定對象的。
市區,N,vec4gloss,N-21,"A.梅子, B.景點, C.市區, D.錶",地方政府行政區域之一，在市之下。
雖,O,vec4gloss,O-17,"A.素, B.靠, C.畫, D.雖",連接不影響後述事實的條件，隱含讓步。
一,D,vec4gloss,D-09,"A.便, B.稍微, C.一, D.換句話說",表後述動作的完整性。
大加,D,ASBC,D-54,"A.俾能, B.跟著, C.大加, D.莫非",表程度加深。
引以為憾,V,CWN,V-00,"A.成熟, B.弟, C.拱, D.引以為憾",形容因前述對象而感到遺憾。
鈞,N,vec4gloss,N-22,"A.鈞, B.口中, C.廈, D.殼",計算以鈞鈞為形象製成的人造物的單位。
首開,V,ASBC,V-52,"A.演練, B.首開, C.不慌不忙, D.盡到",開創後述新的事件。
下來,D,vec4gloss,D-20,"A.一心, B.叢, C.下來, D.深",表狀態從過去持續到參考時點，強調其狀態從過去持續到參考時點。
凡,O,vec4gloss,O-24,"A.針對, B.什麼, C.凡, D.卡",連接特定範圍內的全部。
著,D,CWN,D-03,"A.漫, B.一起, C.著, D.能",表前述動作持續進行。
邁,V,vec4gloss,V-05,"A.獨, B.幹麼, C.邁, D.課",抬起腳向前走。
隔,O,vec4gloss,O-09,"A.隔, B.單, C.嗟, D.透過",空間上不連續，並有遮蔽物。
骯髒,V,vec4gloss,V-12,"A.放, B.柴, C.導因, D.骯髒",使後述對象有污垢雜質。
擔,N,vec4gloss,N-18,"A.黑, B.債, C.中, D.擔",計算以擔子承擔責任的物品的單位。
串,N,vec4gloss,N-13,"A.符, B.植物, C.串, D.地震",計算多個同類對象排列成行或成列的集合體的單位。
漸染,D,vec4gloss,D-23,"A.日趨, B.照樣, C.漸染, D.爆",比喻受到特定對象的影響而逐漸產生類似變化。
直接,D,CWN,D-01,"A.未曾, B.這麼樣, C.直接, D.總",表不改變方向向後述目的地運動。
可要,D,ASBC,D-53,"A.忽地, B.終日, C.可要, D.忽然間",表說話者主觀認為後述事件可能發生。
紐,N,vec4gloss,N-20,"A.團, B.紐, C.果, D.螺旋",繫在物體上的細長帶狀物品。
互動式,O,vec4gloss,O-15,"A.使, B.通識, C.於是, D.互動式",形容電子設備能依照人的指令立刻作出反應。
比比皆是,V,ASBC,V-51,"A.印有, B.駕馭, C.等閒視之, D.比比皆是",形容兩個以上程度漸進且超過預期的。
目,N,vec4gloss,N-17,"A.刑事, B.以色列, C.煙, D.目",形狀像耳朵的物體。
加值,V,CWN,V-04,"A.翻, B.恭敬, C.加值, D.發",透過讀卡機將金錢儲存至特定卡片中。
呀,O,CWN,O-01,"A.孤, B.以, C.呀, D.啊呀",表疑問的語氣。
揮手,V,CWN,V-02,"A.使, B.揮手, C.聘用, D.效",舉起並搖動手臂表示打招呼。
便會,D,vec4gloss,D-05,"A.尚, B.正好, C.便會, D.於此",表前述事件為後述事件的充分條件，表示在該條件或情況下自然發展。
及時,O,vec4gloss,O-18,"A.假藉, B.感謝, C.及時, D.基層",形容在事件發生的時間點之後。
公公,N,vec4gloss,N-09,"A.龍蝦, B.犬, C.公公, D.書",對與祖父年紀相仿的一般年長男子的尊稱。
聞,V,vec4gloss,V-08,"A.稀有, B.健全, C.做主, D.聞",用耳朵接收聲音。
遲,V,vec4gloss,V-23,"A.認領, B.遲, C.憧憬, D.中興",形容事件發生時間在其他同類事件之後。
周旋,V,CWN,V-01,"A.清洗, B.剉, C.周旋, D.實在",比喻可商量。
剛剛,D,vec4gloss,D-08,"A.沒想到, B.結伴, C.恐, D.剛剛",過去不久的時間。
輕聲,D,vec4gloss,D-17,"A.還要, B.輕聲, C.就是, D.歷",表聲量小，音調低，讓他人不容易聽到。
一定,O,CWN,O-02,"A.低階, B.替, C.一定, D.德",形容特別指出的。
朝野,N,vec4gloss,N-10,"A.堂, B.種類, C.勸告, D.朝野",執掌政權的政黨。
旅店,N,ASBC,N-52,"A.買盤, B.老天, C.旅店, D.經常性",住家房屋內用餐的場所。
中介,O,vec4gloss,O-22,"A.數位, B.中介, C.隨著, D.正",與特定對象相關的責任或事件。
噯,O,vec4gloss,O-10,"A.掰, B.均, C.以, D.噯",表驚訝的語氣。
感應,V,ASBC,V-53,"A.直航, B.感應, C.站出來, D.歇業",受到刺激而產生情緒反應。
省下來,V,vec4gloss,V-07,"A.省下來, B.嚐, C.有效, D.冷",將預定的花費保留。
的,N,vec4gloss,N-23,"A.價值, B.訪談, C.的, D.象",形容符合前述描述的標準。
頗,D,vec4gloss,D-13,"A.八成, B.汲汲, C.唯獨, D.頗",表程度高。
孔,N,vec4gloss,N-05,"A.科學, B.孔, C.程, D.對岸",物體表面狹小細長的缺口。
心愛,O,CWN,O-00,"A.且, B.例如, C.不論, D.心愛",形容內心喜愛的。
月,O,vec4gloss,O-07,"A.到, B.啥子, C.為, D.月",地球環繞太陽一周所需的時間。
想必,D,vec4gloss,D-24,"A.照舊, B.瞬, C.照舊, D.想必",表對推論的肯定，沒有例外。
仍舊,D,vec4gloss,D-11,"A.仍舊, B.汲汲, C.爛, D.壹",形容動作或情況持續不變。
回信,N,vec4gloss,N-08,"A.回信, B.軌, C.學院, D.精",回覆的信件。
達,N,vec4gloss,N-15,"A.朝代, B.八, C.弊端, D.達",一種詩歌體裁，內容為「傳統」和「傳統」。
稀,V,vec4gloss,V-09,"A.集合, B.稀, C.畏, D.算命",形容特定對象的種類多且稀疏。
負,V,vec4gloss,V-19,"A.迴旋, B.算, C.識, D.負",前述物體正面相反的方向，對著後述地點。
比較,D,vec4gloss,D-21,"A.真的, B.之至, C.過來, D.比較",表程度加深。
祕,N,vec4gloss,N-24,"A.往事, B.英文, C.祕, D.茗",隱藏不公開的訊息。
知性,N,ASBC,N-51,"A.浪花, B.品系, C.知性, D.聖神",能夠瞭解外界的事物的特性。
依據,O,vec4gloss,O-12,"A.多重, B.坡, C.依據, D.歪",引介遵循的原則。
明,N,vec4gloss,N-12,"A.明, B.寸, C.戲院, D.固體",說話者所在的時間參考點的那一天。
部,N,vec4gloss,N-14,"A.補貼, B.轉, C.反應, D.部",計算書籍、出版品的單位。
哈,O,vec4gloss,O-08,"A.哈, B.縱然, C.以, D.媽呀",表驚訝的語氣。
崇,O,vec4gloss,O-11,"A.啊, B.崇, C.離, D.按",位置處於後述地點。
群聚,V,vec4gloss,V-17,"A.期許, B.群聚, C.肥, D.強迫",多數的前述對象同一時間在同一地點出現。
明牌,N,ASBC,N-50,"A.西湖, B.磚牆, C.小生, D.明牌",比喻在競爭中被淘汰的對象。
如期,D,ASBC,D-52,"A.如期, B.相偕, C.突然間, D.時至今日",表在預定的時間或情況下。
加以,D,vec4gloss,D-19,"A.竟, B.到家, C.加以, D.殆",表加強說話者對陳述內容的肯定。
建成,V,vec4gloss,V-18,"A.建成, B.超越, C.喪失, D.淡",建造完成後述建築物。
聽起來,D,vec4gloss,D-07,"A.聽起來, B.怎麼, C.才, D.虛",表說話者主觀的感覺。
看,V,vec4gloss,V-11,"A.著名, B.囤, C.看, D.穩定",仔細察看特定對象。
嗚,O,vec4gloss,O-14,"A.凡, B.下屬, C.封建, D.嗚",模擬風的聲音。
距,O,vec4gloss,O-05,"A.從, B.而, C.距, D.據",引介兩地點相隔的空間範圍。
印度,N,vec4gloss,N-06,"A.印度, B.趣, C.俄, D.脊",國名，位於亞洲南部的國家，介於阿拉伯海和孟加拉灣之間，是世界上人口第二多的國家。
龍,N,vec4gloss,N-11,"A.刻, B.垃圾, C.烏龜, D.龍",姓。
好不容易,D,vec4gloss,D-10,"A.好不容易, B.勢必, C.莫不, D.還",表說話者主觀評價程度高，帶有誇張語氣或情感。
生,V,vec4gloss,V-10,"A.涉案, B.乘, C.分解, D.生",形容食材或藥材不會使身體陽氣亢盛或陽氣衰竭的。
長足,O,ASBC,O-50,"A.麻辣, B.長足, C.英屬, D.駐華",比喻事件發展的基礎。
以免,O,vec4gloss,O-13,"A.至, B.活生生, C.開燈, D.以免",連接說話者希望藉前述事件避免的假設事件。
方便,V,vec4gloss,V-20,"A.遜, B.分解, C.方便, D.猜測",形容容易達到使用目的。
靠著,O,ASBC,O-51,"A.靠著, B.開卷, C.有關於, D.跟著",引介動作的方向。
何,O,vec4gloss,O-20,"A.珍, B.何, C.縱然, D.喲",表示對描述對象的疑問。
打下來,V,vec4gloss,V-14,"A.拋, B.打下來, C.點, D.長",以注射器將藥液注射到生物體內。
彰顯,V,ASBC,V-54,"A.走出來, B.亢進, C.彰顯, D.落腳",顯現出後述事物或特質。
跳,V,vec4gloss,V-22,"A.不一, B.轉手, C.聰明, D.跳",物體藉由反作用力，向上移動。
啟,V,vec4gloss,V-16,"A.工作, B.啟, C.探, D.分析",有權力的機構或人經審查後批准。
傳遞,V,vec4gloss,V-15,"A.傳遞, B.告訴, C.運作, D.懷",將物品由一方交到另一方。
緩和,V,vec4gloss,V-06,"A.大, B.勒令, C.乾淨, D.緩和",形容激烈的程度降低。
,V,vec4gloss,V-21,"A.訪, B., C.堅, D.瓊瑤",形容比喻沒有確切的意義或論點。
政,N,CWN,N-02,"A.個個, B.剎, C.龍頭, D.政",公務機關所執行的各項業務。
哲學,N,vec4gloss,N-16,"A.親情, B.樑, C.之餘, D.哲學",研究哲學的知識。
旗,N,vec4gloss,N-07,"A.文字, B.旗, C.身長, D.調查員",地方政府行政區域之一，在村之上，與村平行。
下去,V,vec4gloss,V-13,"A.悶, B.輸, C.下去, D.耍",比喻指數降低。
又,D,vec4gloss,D-18,"A.立, B.又, C.極為, D.真",表事件重複發生。
烏,N,CWN,N-04,"A.抗爭, B.鷹, C.烏, D.時",鳥類，有直而硬的大嘴，全身黑色。
初,D,CWN,D-00,"A.果然, B.詎料, C.初, D.再",表首度的、第一次的。
